#Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol 
#HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool 
 11:52:40      0     42     34     33      0      0      0      0      -      -    877   1312      0      0 
 11:52:40      1     46     33     30      0      0      0      0      -      -    877   1312      0      0 
 11:52:41      0     43     34     33      0      0      0      0      -      -    877   1312      0      0 
 11:52:41      1     46     33     30      0      0      0      0      -      -    877   1312      0      0 
 11:52:42      0     43     34     33      0      0      0      0      -      -    877   1312      0      0 
 11:52:42      1     46     33     30      0      0      0      0      -      -    877   1312      0      0 
 11:52:43      0     43     34     33      0      0      0      0      -      -    877   1312      0      0 
 11:52:43      1     46     33     30      0      0      0      0      -      -    877   1312      0      0 
 11:52:44      0     43     34     33      0      0      0      0      -      -    877   1312      0      0 
 11:52:44      1     46     33     30      0      0      0      0      -      -    877   1312      0      0 
 11:52:45      0     43     34     33      0      0      0      0      -      -    877   1312      0      0 
 11:52:45      1     46     33     30      0      0      0      0      -      -    877   1312      0      0 
 11:52:46      0     43     34     33      0      0      0      0      -      -    877   1312      0      0 
 11:52:46      1     46     33     31      0      0      0      0      -      -    877   1312      0      0 
 11:52:47      0     43     34     33      0      0      0      0      -      -    877   1312      0      0 
 11:52:47      1     46     33     31      0      0      0      0      -      -    877   1312      0      0 
 11:52:48      0     42     34     33      0      0      0      0      -      -    877   1312      0      0 
 11:52:48      1     46     33     31      0      0      0      0      -      -    877   1312      0      0 
 11:52:49      0     42     34     33      0      0      0      0      -      -    877   1312      0      0 
 11:52:49      1     46     33     31      0      0      0      0      -      -    877   1312      0      0 
 11:52:50      0     44     34     33     27      1      0      0      -      -    877   1312      0      0 
 11:52:50      1     46     33     30      0      0      0      0      -      -    877   1312      0      0 
 11:52:51      0     53     34     33     41      1      0      0      -      -    877   1530      0      0 
 11:52:51      1     46     33     30      0      0      0      0      -      -    877   1312      0      0 
 11:52:52      0     53     34     33     41      1      0      0      -      -    877   1530      0      0 
 11:52:52      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:52:53      0     53     35     33     43      1      0      0      -      -    877   1530      0      0 
 11:52:53      1     46     33     31      0      0      0      0      -      -    877   1312      0      0 
#Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol 
#HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool 
 11:52:54      0     53     35     34     40      1      0      0      -      -    877   1530      0      0 
 11:52:54      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:52:55      0     52     35     34     38      1      0      0      -      -    877   1530      0      0 
 11:52:55      1     46     33     31      0      0      0      0      -      -    877   1312      0      0 
 11:52:56      0     53     35     33     41      1      0      0      -      -    877   1530      0      0 
 11:52:56      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:52:57      0     53     35     34     40      1      0      0      -      -    877   1530      0      0 
 11:52:57      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:52:58      0     53     35     33     42      1      0      0      -      -    877   1530      0      0 
 11:52:58      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:52:59      0     53     35     34     41      1      0      0      -      -    877   1530      0      0 
 11:52:59      1     46     33     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:00      0     53     35     34     39      1      0      0      -      -    877   1530      0      0 
 11:53:00      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:01      0     53     35     34     40      1      0      0      -      -    877   1530      0      0 
 11:53:01      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:02      0     53     35     33     42      1      0      0      -      -    877   1530      0      0 
 11:53:02      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:03      0     53     35     34     40      1      0      0      -      -    877   1530      0      0 
 11:53:03      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:04      0     53     35     33     36      1      0      0      -      -    877   1530      0      0 
 11:53:04      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:05      0     53     35     34     41      1      0      0      -      -    877   1530      0      0 
 11:53:05      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:06      0     53     35     34     39      1      0      0      -      -    877   1530      0      0 
 11:53:06      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
